t,E_ex,E_an,E_zee,E_tot
0.31000000,7.2878922181253452e4,2.6512549430517373e-20,-1.0997685185818496e-15,7.2878922181253452e4
0.31250000,7.3312131934806617e4,2.6863884513338372e-20,-3.2115518308295959e-17,7.3312131934806617e4
0.31500000,7.2897193162414987e4,2.6643005462168845e-20,-1.6176335885755236e-16,7.2897193162414987e4
0.31750000,7.2772652103211003e4,2.6814148969362019e-20,-7.7354187637077756e-16,7.2772652103211003e4
0.32000000,7.3338045329779183e4,2.6610193696143085e-20,2.3021999351420137e-17,7.3338045329779183e4
0.32250000,7.2662609038696028e4,2.6842825918732077e-20,-1.1980762464881275e-15,7.2662609038696028e4
0.32500000,7.3090417520536532e4,2.6520888877567088e-20,-8.8094853188961149e-16,7.3090417520536532e4
0.32750000,7.2952343984105188e4,2.7008763403868686e-20,8.8225996257748610e-17,7.2952343984105188e4
0.33000000,7.2659455872375169e4,2.6426950193077114e-20,-3.5161368906741518e-16,7.2659455872375169e4
0.33250000,7.2921201155846531e4,2.6871418168592582e-20,-1.5298120064253566e-15,7.2921201155846531e4
0.33500000,7.2808517052781492e4,2.6581997299799952e-20,2.3910372791829031e-17,7.2808517052781492e4
0.33750000,7.3201777902060727e4,2.6690552939001831e-20,-3.1769739952331560e-16,7.3201777902060727e4
0.34000000,7.3011396900163032e4,2.6493043438329318e-20,9.6390083478194345e-16,7.3011396900163032e4
0.34250000,7.3154001707504824e4,2.6779867595815429e-20,-4.9207407243309570e-16,7.3154001707504824e4
0.34500000,7.3340425255859009e4,2.6523472973245461e-20,1.4850463547249988e-16,7.3340425255859009e4
0.34750000,7.3128587724029290e4,2.6776462060527867e-20,-1.8999620273820233e-15,7.3128587724029290e4
0.35000000,7.3046708823750581e4,2.6772374805856777e-20,-2.2923192044150497e-16,7.3046708823750581e4
0.35250000,7.3082022989634017e4,2.6599013622633466e-20,-1.0479868183566604e-15,7.3082022989634017e4
0.35500000,7.3293978116961327e4,2.6865063136425165e-20,-1.5248126311951357e-15,7.3293978116961327e4
0.35750000,7.2934219181334804e4,2.6585867948322276e-20,4.3011306400904500e-18,7.2934219181334804e4
0.36000000,7.2960137747565503e4,2.6830543477511149e-20,-4.1979131537490144e-16,7.2960137747565503e4
0.36250000,7.2922970272767721e4,2.6503916448366331e-20,-1.0573045030529990e-15,7.2922970272767721e4
0.36500000,7.2956862376988778e4,2.6866151502050439e-20,-4.6459664119178888e-16,7.2956862376988778e4
0.36750000,7.3132807269162135e4,2.6483208075320157e-20,-7.0629687414194182e-16,7.3132807269162135e4
0.37000000,7.2883269683200560e4,2.6787347097007621e-20,-1.3576596344051282e-17,7.2883269683200560e4
0.37250000,7.2900197074649986e4,2.6567990920924059e-20,-9.9078252860197265e-16,7.2900197074649986e4
0.37500000,7.2912150251640618e4,2.6846884063543482e-20,-9.1992142975472530e-16,7.2912150251640618e4
0.37750000,7.2917433605741098e4,2.6584153049225025e-20,3.9473879893867493e-17,7.2917433605741098e4
0.38000000,7.2859616995577817e4,2.6777174341835374e-20,2.6761380342189182e-16,7.2859616995577817e4
0.38250000,7.3079885361898952e4,2.6564384276237752e-20,-3.9321005020692840e-16,7.3079885361898952e4
0.38500000,7.2878338880470124e4,2.6880304019381174e-20,-4.1347504899137849e-16,7.2878338880470124e4
0.38750000,7.3122333018334233e4,2.6648962622815399e-20,-7.6076105855363193e-17,7.3122333018334233e4
